,VEGFA,FGF1,Cluster
TCGA-50-5941-01A-11R-1755-07,6.59427614265895,1.283711448236473,1
TCGA-55-A4DF-01A-11R-A24H-07,8.222585175438407,3.5011857305958776,0
TCGA-78-7146-01A-11R-2039-07,8.449048129995262,0.953365599380686,1
TCGA-78-7148-01A-11R-2039-07,6.361509741532416,1.1905944641748771,1
TCGA-NJ-A4YP-01A-11R-A262-07,8.200369158954196,2.345117697331259,1
TCGA-64-1681-01A-11R-2066-07,5.990640202897403,1.9200132899350515,1
TCGA-75-6207-01A-11R-1755-07,7.486121388855702,0.9592294349885492,1
TCGA-44-6778-01A-11R-1858-07,6.329646112215817,1.008841827790172,1
TCGA-49-4494-01A-01R-1206-07,7.677071437107124,1.5303475240387523,1
TCGA-NJ-A4YG-01A-22R-A262-07,7.1468954160469655,1.6145607395123964,1
TCGA-44-4112-01B-06R-A277-07,7.893674413898772,3.418662894887418,0
TCGA-86-8278-01A-11R-2287-07,7.886905488316271,2.6765493469638706,1
TCGA-44-A47G-01A-21R-A24H-07,7.823583278121573,2.20837505317071,1
TCGA-91-6836-01A-21R-1858-07,8.020222625591215,0.7470170216116219,1
TCGA-86-6562-01A-11R-1755-07,8.264564188092077,2.6602781253413363,1
TCGA-55-7570-01A-11R-2039-07,6.21151781677743,0.6325069637121666,1
TCGA-67-3772-01A-01R-0946-07,6.575069522377524,2.528789487808785,1
TCGA-64-5778-01A-01R-1628-07,5.532970663067074,1.2428214904797366,1
TCGA-50-8459-01A-11R-2326-07,6.196227105294188,3.101136917389261,1
TCGA-44-6146-01A-11R-A278-07,6.731512274538375,1.0959109268378426,1
TCGA-86-7714-01A-12R-2170-07,5.18014740339332,1.034026760344534,1
TCGA-55-8513-01A-11R-2403-07,6.789631489059603,0.8059897793546553,1
TCGA-50-5068-01A-01R-1628-07,5.662901644060603,0.7121523999208781,1
TCGA-44-2659-01A-01R-0946-07,7.151687151186073,1.952798786674342,1
TCGA-62-8399-01A-21R-2326-07,8.701672531354877,1.0064161772421067,1
TCGA-55-7284-01B-11R-2241-07,7.188191541869359,1.6676994310485214,1
TCGA-44-5645-01A-01R-1628-07,5.080921936844344,2.536992848753889,1
